Date(UTC),"OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
2022-05-10 09:21:57,"308221959","EGLDBUSD","Limit","SELL","116.0000000000","1.0000000000EGLD","2022-05-10 09:23:28","1.0000000000EGLD","116.00000000","116.0000000000BUSD","FILLED"
2022-05-10 09:21:15,"4892593645","BTCBUSD","Limit","SELL","32750.0000000000","0.0033300000BTC","2022-05-31 18:01:40","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-05-09 08:24:04,"4882377234","BTCBUSD","Limit","BUY","30000.0000000000","0.0033300000BTC","2022-05-09 08:24:04","0.0000000000BTC","0E-8","0.0000000000BUSD","UNKNOWN_STATUS"
2022-04-30 08:38:24,"298614423","EGLDBUSD","Limit","BUY","112.0000000000","1.0000000000EGLD","2022-05-09 01:52:17","1.0000000000EGLD","112.00000000","112.0000000000BUSD","FILLED"
2022-04-30 08:37:24,"262919905","SUSHIBUSD","Limit","BUY","2.5000000000","10.0000000000SUSHI","2022-04-30 22:01:59","10.0000000000SUSHI","2.50000000","25.0000000000BUSD","FILLED"
2022-04-15 12:31:17,"2218753755","AAVEBUSD","Limit","SELL","174.0000000000","1.4430000000AAVE","2022-04-15 17:06:31","1.4430000000AAVE","174.00000000","251.0820000000BUSD","FILLED"
2022-04-10 14:45:47,"2202571922","AAVEBUSD","Limit","BUY","178.0000000000","1.0000000000AAVE","2022-04-10 23:54:24","1.0000000000AAVE","178.00000000","178.0000000000BUSD","FILLED"
2022-04-08 11:34:59,"63448156","KAVABUSD","Limit","SELL","4.8000000000","20.0000000000KAVA","2022-04-08 11:36:13","20.0000000000KAVA","4.80000000","96.0000000000BUSD","FILLED"
2022-03-29 13:01:09,"1689438460","ICPBUSD","Limit","BUY","22.6000000000","7.7000000000ICP","2022-03-29 13:49:40","7.7000000000ICP","22.60000000","174.0200000000BUSD","FILLED"
2022-03-27 22:09:28,"95027527","SLPBUSD","Limit","BUY","0.0200000000","1500.0000000000SLP","2022-03-29 11:06:26","0.0000000000SLP","0E-8","0.0000000000BUSD","CANCELED"
2022-03-23 09:10:22,"176683314","ZILBUSD","Limit","BUY","0.0460000000","1090.0000000000ZIL","2022-03-26 23:18:10","0.0000000000ZIL","0E-8","0.0000000000BUSD","CANCELED"
2022-03-22 22:48:32,"1172241123","BNBBUSD","Limit","BUY","406.3000000000","0.1250000000BNB","2022-03-22 22:48:32","0.1250000000BNB","406.30000000","50.7875000000BUSD","FILLED"
2022-03-21 11:53:16,"2338589410","RUNEBUSD","Limit","SELL","8.9700000000","14.0000000000RUNE","2022-03-21 12:30:04","14.0000000000RUNE","8.97000000","125.5800000000BUSD","FILLED"
2022-03-20 14:49:10,"232893040","RUNEBUSD","Limit","BUY","8.9000000000","2.0000000000RUNE","2022-03-20 18:36:30","2.0000000000RUNE","8.90000000","17.8000000000BUSD","FILLED"
2022-03-19 15:38:50,"231673394","RUNEBUSD","Limit","BUY","8.6500000000","12.0000000000RUNE","2022-03-19 15:49:39","12.0000000000RUNE","8.65000000","103.8000000000BUSD","FILLED"
2022-03-19 14:14:46,"267296521","EGLDBUSD","Limit","BUY","153.0000000000","1.0000000000EGLD","2022-03-26 23:17:20","0.0000000000EGLD","0E-8","0.0000000000BUSD","CANCELED"
2022-03-17 17:36:39,"22948323265","RUNEBUSD","Limit","BUY","6.0100000000","16.7000000000RUNE","2022-03-20 14:49:18","0.0000000000RUNE","0E-8","0.0000000000BUSD","CANCELED"
2022-03-17 17:36:03,"22948552618","RUNEBUSD","Limit","SELL","8.0000000000","15.0000000000RUNE","2022-03-17 17:36:19","15.0000000000RUNE","8.00000000","120.0000000000BUSD","FILLED"
2022-03-17 17:35:12,"2294821940","RUNEBUSD","Limit","SELL","8.0100000000","15.0000000000RUNE","2022-03-17 17:36:01","0.0000000000RUNE","0E-8","0.0000000000BUSD","CANCELED"
2022-03-17 14:10:12,"211348893","AAVEBUSD","Limit","BUY","143.0000000000","0.3880000000AAVE","2022-03-17 15:53:28","0.3880000000AAVE","143.00000000","55.4840000000BUSD","FILLED"
2022-03-17 13:48:24,"21134847574","AAVEBUSD","Limit","BUY","142.0000000000","0.3900000000AAVE","2022-03-17 14:10:03","0.0000000000AAVE","0E-8","0.0000000000BUSD","CANCELED"
2022-03-15 00:02:30,"2263638300","RUNEBUSD","Limit","BUY","7.2600000000","15.0000000000RUNE","2022-03-15 00:04:41","15.0000000000RUNE","7.26000000","108.9000000000BUSD","FILLED"
2022-03-11 15:37:46,"2606369079","EGLDBUSD","Limit","BUY","146.0000000000","1.0000000000EGLD","2022-03-11 15:37:46","1.0000000000EGLD","145.94480000","145.9448000000BUSD","FILLED"
2022-03-07 12:02:45,"256529428","EGLDBUSD","Limit","BUY","130.0000000000","1.0000000000EGLD","2022-03-07 19:33:38","1.0000000000EGLD","130.00000000","130.0000000000BUSD","FILLED"
